access,granularity,month,project,timestamp,views,year
desktop-site,monthly,09,en.wikipedia,2015090100,5409631355,2015
desktop-site,monthly,10,en.wikipedia,2015100100,5535704471,2015
desktop-site,monthly,11,en.wikipedia,2015110100,5296956116,2015
desktop-site,monthly,12,en.wikipedia,2015120100,5264446173,2015
desktop-site,monthly,01,en.wikipedia,2016010100,5569632502,2016
desktop-site,monthly,02,en.wikipedia,2016020100,5347709361,2016
desktop-site,monthly,03,en.wikipedia,2016030100,5407676056,2016
desktop-site,monthly,04,en.wikipedia,2016040100,5572235399,2016
desktop-site,monthly,05,en.wikipedia,2016050100,5330532334,2016
desktop-site,monthly,06,en.wikipedia,2016060100,4975092447,2016
desktop-site,monthly,07,en.wikipedia,2016070100,5363966439,2016
desktop-site,monthly,08,en.wikipedia,2016080100,913675893,2016
mobile-site,monthly,10,en.wikipedia,2014100100,3091546685,2014
mobile-site,monthly,11,en.wikipedia,2014110100,3027489668,2014
mobile-site,monthly,12,en.wikipedia,2014120100,3278950021,2014
mobile-site,monthly,01,en.wikipedia,2015010100,3485302091,2015
mobile-site,monthly,02,en.wikipedia,2015020100,3091534479,2015
mobile-site,monthly,03,en.wikipedia,2015030100,3330832588,2015
mobile-site,monthly,04,en.wikipedia,2015040100,3222089917,2015
mobile-site,monthly,05,en.wikipedia,2015050100,3334069483,2015
mobile-site,monthly,06,en.wikipedia,2015060100,3038162463,2015
mobile-site,monthly,07,en.wikipedia,2015070100,3254472695,2015
mobile-site,monthly,08,en.wikipedia,2015080100,3268487582,2015
mobile-site,monthly,09,en.wikipedia,2015090100,3172429827,2015
mobile-site,monthly,10,en.wikipedia,2015100100,3246082505,2015
mobile-site,monthly,11,en.wikipedia,2015110100,3218234512,2015
mobile-site,monthly,12,en.wikipedia,2015120100,3387411863,2015
mobile-site,monthly,01,en.wikipedia,2016010100,3739628742,2016
mobile-site,monthly,02,en.wikipedia,2016020100,3333231392,2016
mobile-site,monthly,03,en.wikipedia,2016030100,3419853636,2016
mobile-site,monthly,04,en.wikipedia,2016040100,3301385124,2016
mobile-site,monthly,05,en.wikipedia,2016050100,3418435805,2016
mobile-site,monthly,06,en.wikipedia,2016060100,3372618063,2016
mobile-site,monthly,07,en.wikipedia,2016070100,3500661121,2016
mobile-site,monthly,08,en.wikipedia,2016080100,480041296,2016
